cate,count
miniskirt,67636
jean,44539
None,31115
pajama,29873
sandal,26226
overskirt,15954
gown,15885
fur_coat,12239
purse,11575
trench_coat,11397
clog,9790
mailbag,9213
maillot,8925
stole,8703
Loafer,8464
jersey,8301
shoe_shop,6776
cardigan,6213
sweatshirt,6072
apron,5926
hoopskirt,5717
suit,5689
running_shoe,5414
abaya,5384
poncho,5287
backpack,4698
sunglasses,4619
cowboy_boot,4446
lab_coat,4397
velvet,4313
sarong,4025
cloak,3358
kimono,3269
swimming_trunks,3093
vestment,2913
wallet,2868
sock,2581
wool,2521
sunglass,2242
buckle,2188
brassiere,1993
bulletproof_vest,1959
bikini,1885
balance_beam,1863
handkerchief,1504
knee_pad,1482
bonnet,1415
hair_slide,1393
shopping_basket,1347
bath_towel,1277
diaper,1232
toyshop,1194
cowboy_hat,1175
envelope,1096
swab,1088
bow_tie,1065
dumbbell,992
shower_curtain,978
bearskin,967
crutch,943
holster,925
chain_mail,906
web_site,867
torch,859
wig,840
sleeping_bag,796
swing,743
carton,701
packet,678
Band_Aid,656
wardrobe,644
ski_mask,598
shower_cap,587
comic_book,586
hand_blower,586
sombrero,583
rubber_eraser,570
seat_belt,570
military_uniform,543
academic_gown,501
pencil_box,501
bathtub,489
muzzle,471
studio_couch,459
whistle,456
plastic_bag,455
bow,454
binder,448
breastplate,445
Christmas_stocking,421
barbell,417
bookshop,416
broom,415
lighter,407
groom,399
rocking_chair,395
ski,363
teddy,358
iron,349
punching_bag,346
umbrella,339
neck_brace,313
confectionery,312
mitten,310
scabbard,306
gasmask,303
bib,300
racket,298
ballplayer,294
barber_chair,293
potter,290
cuirass,287
bathing_cap,284
hair_spray,283
horizontal_bar,279
necklace,279
cash_machine,274
mosquito_net,269
unicycle,256
carpenter,253
paper_towel,236
basketball,219
Windsor_tie,219
radiator,218
bakery,217
plunger,210
harmonica,202
volleyball,198
mortarboard,197
hamper,196
puck,194
face_powder,192
grocery_store,192
cellular_telephone,190
limousine,189
bassinet,186
restaurant,185
toilet_tissue,183
candle,180
cradle,177
vacuum,167
hook,166
lipstick,165
jinrikisha,165
stretcher,161
bolo_tie,160
mask,159
can_opener,157
combination_lock,154
tobacco_shop,154
tricycle,154
book_jacket,154
throne,151
sandbar,149
thimble,149
lampshade,148
stage,146
safety_pin,146
mousetrap,146
accordion,146
theater_curtain,144
library,141
vase,140
pick,140
